E_type,Voltage (V),Specific surface area (m2/g),IDIG_ratio,N-doped (at%),O-doped (at%),Current density (A/g),Capacitance (F/g)
3,0.8,3047,0.94,2.28,10,0.5,330
3,0.9,3047,0.94,2.28,10,0.5,352
3,0.8,3068,0.98,1.67,7,0.5,255
3,0.9,3068,0.98,1.67,7,0.5,312
3,0.8,1591,0.93,5.27,21,1,348
3,0.9,1591,0.93,5.27,21,1,386
3,0.8,3047,0.94,2.28,10,1,328
3,0.9,3047,0.94,2.28,10,1,340
3,0.8,3068,0.98,1.67,7,1,247
3,0.9,3068,0.98,1.67,7,1,301
3,0.8,1591,0.93,5.27,21,2,344
3,0.9,1591,0.93,5.27,21,2,360
3,0.8,3047,0.94,2.28,10,2,317
3,0.9,3047,0.94,2.28,10,2,325
3,0.8,3068,0.98,1.67,7,2,242
3,0.9,3068,0.98,1.67,7,2,291
3,0.8,1591,0.93,5.27,21,4,338
3,0.9,1591,0.93,5.27,21,4,328
3,0.8,3047,0.94,2.28,10,4,314
3,0.9,3047,0.94,2.28,10,4,312
3,0.8,3068,0.98,1.67,7,4,241
3,0.9,3068,0.98,1.67,7,4,272
3,0.8,1591,0.93,5.27,21,6,329
3,0.9,1591,0.93,5.27,21,6,312
3,0.8,3047,0.94,2.28,10,6,302
3,0.9,3047,0.94,2.28,10,6,302
3,0.8,3068,0.98,1.67,7,6,237
3,0.9,3068,0.98,1.67,7,6,262
3,0.8,1591,0.93,5.27,21,8,328
3,0.9,1591,0.93,5.27,21,8,286
3,0.8,3047,0.94,2.28,10,8,297
3,0.9,3047,0.94,2.28,10,8,293
3,0.8,3068,0.98,1.67,7,8,237
3,0.9,3068,0.98,1.67,7,8,253
3,0.8,1591,0.93,5.27,21,10,327
3,0.9,1591,0.93,5.27,21,10,272
3,0.8,3047,0.94,2.28,10,10,291
3,0.9,3047,0.94,2.28,10,10,287
3,0.8,3068,0.98,1.67,7,10,234
3,0.9,3068,0.98,1.67,7,10,240
3,0.8,1591,0.93,5.27,21,15,319
3,0.9,1591,0.93,5.27,21,15,250
3,0.8,3047,0.94,2.28,10,15,275
3,0.9,3047,0.94,2.28,10,15,273
3,0.8,3068,0.98,1.67,7,15,229
3,0.9,3068,0.98,1.67,7,15,226
3,0.8,1591,0.93,5.27,21,20,311
3,0.9,1591,0.93,5.27,21,20,236
3,0.8,3047,0.94,2.28,10,20,267
3,0.9,3047,0.94,2.28,10,20,263
3,0.8,3068,0.98,1.67,7,20,225
3,0.9,3068,0.98,1.67,7,20,220
3,0.8,1591,0.93,5.27,21,25,302
3,0.9,1591,0.93,5.27,21,25,218
3,0.8,3047,0.94,2.28,10,25,256
3,0.9,3047,0.94,2.28,10,25,254
3,0.8,3068,0.98,1.67,7,25,217
3,0.9,3068,0.98,1.67,7,25,212
3,0.8,1591,0.93,5.27,21,30,299
3,0.9,1591,0.93,5.27,21,30,206
3,0.8,3047,0.94,2.28,10,30,249
3,0.9,3047,0.94,2.28,10,30,246
3,0.8,3068,0.98,1.67,7,30,212
3,0.9,3068,0.98,1.67,7,30,207
3,1,2385,0.8,0,8.3,0.5,294
3,1,2795,0.84,0.95,7.1,0.5,360
3,1,3003,0.86,1.7,5.79,0.5,390
3,1,2385,0.8,0,8.3,1,254
3,1,2795,0.84,0.95,7.1,1,312
3,1,3003,0.86,1.7,5.79,1,349
3,1,2385,0.8,0,8.3,2,234
3,1,2795,0.84,0.95,7.1,2,288
3,1,3003,0.86,1.7,5.79,2,333
3,1,2385,0.8,0,8.3,5,221
3,1,2795,0.84,0.95,7.1,5,270
3,1,3003,0.86,1.7,5.79,5,315
3,1,2385,0.8,0,8.3,8,216
